restaurant,burger,chole,dosa,idli,medu vada,pav bhaji,pizza,rice,roti,samosa,waffle,lat,lon,address,contact
A Saffron Thread Fresh Indian,0,0,0,0,0,0,1,1,1,1,0,40.714625,-74.007766,"98 Chambers St, NY",(212) 676-0313
Aaheli Queens,0,1,0,1,0,1,0,1,1,1,0,40.721135,-73.854911,"7151 Yellowstone Blvd,Forest Hills, NY",(718) 491-2500
Aanchal Indian Restaurant,0,0,0,0,0,0,0,1,1,1,0,40.746598,-73.945431,"45-12 23rd St, NY",(718) 349-9060
Agra Heights,0,0,0,0,0,1,0,1,1,1,0,40.698017,-73.921467,"45-12 23rd St, NY",(718) 443-5700
Agra Taj Mahal,0,0,0,0,0,0,1,1,1,1,0,40.733303,-73.954943,"1005 Manhattan Ave, NY",(718) 389-2200
Ali Baba Express Grill,0,1,0,0,0,0,1,1,1,1,0,40.58353,-74.291351,"98 Chambers St, NY",(732) 636-8881
Ali Baba's Restaurant,0,0,0,0,0,0,1,1,0,0,0,40.753755,-73.973573,"862 2nd Ave, NY",(212) 888-8622
Ambadi Kebab & Grill,0,0,0,0,0,0,1,1,1,1,0,41.028533,-73.765745,"141 E Post Rd, NY",(914) 686-2014
Anarkali Indian Food,0,0,0,0,0,0,1,1,1,1,0,40.647478,-73.9686,"1125 Church Ave, NY",(718) 282-2200
Apna Masala,0,0,0,0,0,0,1,1,1,1,0,40.726397,-73.986473,"344 E 6th St, NY",(646) 756-5597
Ashoka,0,0,0,0,0,0,1,1,1,1,0,40.784817,-73.973177,"489 Columbus Ave, NY",(212) 875-1400
Asya,1,0,0,0,0,0,0,1,1,1,0,40.532998,-74.331718,"888 46 Henry St,NY",(718) 858-6700
Banjara Fine Indian Cuisine,0,0,0,1,0,0,0,1,1,1,0,40.621805,-74.628498,"959 Route 202/206, NJ",(908) 526-4500
Banjara Indian Restaurant,0,0,0,0,0,1,0,1,1,0,0,40.726355,-73.986216,"97 1st Avenue, NY",(212) 477-5956
Basera Indian Bistro,0,0,0,0,0,1,0,1,1,1,0,40.76384,-73.989099,"745 9th Ave, NY",(212) 757-9787
Basera Indian Bistro,0,0,0,0,0,1,0,1,1,1,0,40.76384,-73.989099,"745 9th Ave, New York, NY",(212) 757-9787
Bawarchi Biryani Point,0,1,1,1,1,1,0,1,1,1,0,40.735627,-74.06664,"839 Newark Ave, NJ",(201) 610-9900
Bawarchi Biryanis,0,0,0,1,1,0,0,1,1,1,0,40.434203,-74.546693,"3201 NJ-27, NJ",(732) 422-7744
Bayleaf Restaurant,0,0,0,0,0,0,0,1,1,1,0,40.660089,-73.960413,"561 Flatbush Ave,Brooklyn, NY",(718) 576-6937
Begum Palace,0,0,0,0,0,0,0,1,1,1,0,40.749842,-74.39878,"300 Main St, NJ",(973) 660-9100
BHOJ Indian Restaurant,1,0,0,0,0,0,0,1,1,1,0,40.898622,-74.112345,"430 Market St., NJ",(201) 797-6800
Bollywood Tadka,0,1,0,0,0,0,0,1,1,1,0,40.4465766,-74.3960609,"415 NJ Rte 18 S, NJ",(732) 238-2352
Bombay Curry,0,0,0,0,0,0,0,1,0,1,0,40.6792749,-73.949314,"525 Nostrand Ave, NY",(718) 484-2475
Bombay Grill,0,0,0,0,0,0,0,1,1,1,0,40.622367,-74.031829,"8716 3rd Ave, NY",(718) 491-2500
Bombay Heights,0,0,0,0,0,0,0,1,1,1,0,40.688148,-73.954553,"1070 Bedford, Brooklyn, NY",(718) 230-7790
Bombay Kitchen,0,0,0,0,0,0,0,1,1,1,0,40.693967,-73.909614,"733 Knickerbocker Ave, NY",(347) 915-1888
Bombay Sandwich Co.,0,0,0,0,0,0,0,1,1,0,0,40.744945,-73.99041,"48 W 27th St, NY",(646) 781-9756
Bombay Spice,0,0,0,0,0,1,0,1,1,1,0,40.676243,-73.952556,"1018 Bergen Street, NY",(718) 484-3111
Bombay Spice II,1,1,0,0,1,1,0,0,1,1,0,40.558351,-74.341752,"95 Lincoln Hwy 27, Edison, NJ",(732) 549-6900
Bombay Spice IV,1,1,0,0,1,1,0,0,1,1,0,40.5730938,-74.3454732,"1700 Oak Tree Rd, Edison, New Jersey",(848) 229-2250
Bombay Wok Express,0,0,0,0,0,0,0,1,0,1,0,40.499661,-74.45307,"135 Easton Ave, New Brunswick, NJ",(732) 846-3393
Bombay Xpress,0,0,0,0,0,0,0,1,1,1,0,40.692902,-73.9367,"964 Dekalb Ave., Brooklyn, NY",(718) 443-1600
Caffe India,0,0,0,0,0,0,0,1,1,1,0,40.798941,-74.485346,"79 washington street, Morristown, NJ",(973) 539-7433
Caffe Side Dish,1,0,0,0,0,0,,0,0,0,0,40.734181,-74.163464,"1 Raymond Plaza East, Newark, NJ",(973) 242-3001
Calcutta Wok,0,0,0,0,0,0,0,1,0,0,0,40.572622,-74.334468,"1585 Oak Tree Roa, Iselin, NJ",(732) 379-4655
Canteen Desi Dhaba,0,1,0,0,1,1,0,1,1,,0,40.735147,-74.067041,"117 Tonnele Ave, Jersey City, NJ",(201) 434-0007
Chaska Fine Indian Cuisine,0,1,0,0,0,1,0,1,1,1,0,40.735914,-74.066109,"826 Newark Ave, Jersey City, NJ",(201) 653-9292
Chatni Indian Restaurant,0,0,0,0,1,0,0,1,1,1,0,40.812693,-74.215812,"381 Bloomfield Ave, Montclair, NJ",(973) 337-5753
Chawla's,0,1,0,0,0,0,0,1,1,1,0,40.67508,-73.806609,"131-19 Rockaway Blvd, South Ozone Park, NY",(718) 880-1766
Cheeburger Cheeburger,1,0,0,0,0,0,0,0,0,0,1,40.7204663,-73.8426132,"108-50 Queens Blvd,Forest Hills, NY",(718) 997-8600
Cheesy Pizza,1,0,0,0,0,0,1,0,0,0,0,40.797197,-73.969548,"2640 Broadway, New York, NY",(212) 662-5223
Chef of India,0,1,1,1,1,1,0,1,1,1,0,40.745963,-74.04905,"324 Central Ave, Jersey City, NJ",(201) 839-5055
Chennai Dosa Express,0,1,1,1,1,1,0,1,0,1,0,40.735067,-74.062808,"2986 John F Kennedy Blvd, Jc, NJ",(201) 963-8900
Coromandel Cuisine of India,0,1,0,0,0,1,0,1,1,1,0,40.908929,-73.783623,"30 Division St, New Rochelle, NY",(914) 235-8390
Coromandel Cuisine of India - Darien,0,1,0,0,0,1,0,1,1,1,0,41.078061,-73.467194,"25-11 Old Kings Hwy, CT",(203) 662-1213
Seven Brothers Pizzeria,1,0,0,0,0,1,0,0,0,0,0,40.202676,-73.854911,"7151 Yellowstone Blvd, NY",(718) 674-6298
sLICe,0,0,0,0,0,0,1,0,0,0,0,40.743694,-73.953531,"48-11 Vernon Blvd,Long Island City,NY",(718) 937-5423
Zaika BBQ & Grill,1,0,0,0,0,0,0,1,1,1,0,40.532998,-74.331718,"888 Amboy Ave,Edison,NJ",(732) 709-3700
Zookini Pizzeria and Restaurant,0,0,0,0,0,0,1,0,0,0,0,40.502811,-74.454388,"60 Sicard St, New Brunswick,NJ",(732) 545-6671
Cross Culture Indian Restaurant,0,1,0,0,0,1,0,1,1,1,0,39.8979823,-75.0319589,"208 Kings HWY, Haddonfield, NJ",(856) 428-434
